Station ID,Line
1,R
2,N
2,R
3,R
4,R
5,N
5,R
6,R
7,R
8,R
9,F
9,G
9,R
10,B
10,Q
10,D
10,N
10,R
10,2
10,3
10,4
10,5
11,R
12,B
12,Q
12,R
13,B
13,Q
13,D
13,N
13,R
13,2
13,3
13,4
13,5
14,R
15,R
16,GS
16,4
16,5
16,6
16,7
17,A
17,C
17,E
17,N
17,Q
17,R
17,GS
17,1
17,2
17,3
17,7
18,F
18,L
18,M
18,1
18,2
18,3
19,F
19,M
20,F
21,B
21,D
21,F
21,M
21,N
21,Q
21,R
22,B
22,D
22,F
22,M
22,7
23,B
23,D
23,F
23,M
24,B
24,D
24,F
24,M
24,7
25,F
26,F
27,F
28,F
28,G
29,B
29,D
29,F
29,M
29,6
30,F
30,G
31,F
32,F
32,J
32,M
32,Z
33,F
34,F
35,B
35,D
36,F
37,F
37,G
37,R
38,F
39,F
40,F
41,F
42,B
42,C
43,B
43,C
44,A
44,B
44,C
44,D
45,B
45,C
46,A
46,B
46,C
46,D
47,A
47,C
47,E
47,L
48,C
49,C
50,A
50,C
51,A
52,A
53,A
54,C
54,E
55,A
55,C
55,E
56,A
56,C
56,E
56,N
56,Q
56,R
56,S
56,1
56,2
56,3
56,7
57,C
57,E
58,A
58,B
58,C
58,D
58,1
59,B
59,C
60,B
60,C
61,B
61,C
62,B
62,C
63,A
63,C
63,J
63,Z
63,2
63,3
63,4
63,5
64,A
64,C
64,E
65,B
65,C
66,A
66,C
66,E
66,2
66,3
67,A
68,A
68,C
68,J
68,Z
68,2
68,3
68,4
68,5
69,A
70,C
70,E
71,A
71,B
71,C
71,D
71,E
71,F
71,M
72,A
72,C
72,E
72,2
72,3
73,E
74,E
74,J
74,Z
75,E
75,J
75,Z
76,N
76,Q
77,N
77,Q
78,N
78,Q
79,N
79,Q
80,N
80,Q
81,N
81,Q
82,B
82,Q
83,B
83,Q
83,D
83,N
83,R
83,2
83,3
83,4
83,5
84,B
84,Q
85,B
85,Q
86,B
86,Q
87,B
87,Q
88,B
88,Q
89,B
89,Q
90,B
90,Q
91,B
91,Q
92,B
92,Q
93,B
93,Q
94,B
94,Q
95,Q
96,B
96,Q
97,B
97,Q
97,FS
98,B
98,Q
99,D
99,F
99,N
99,Q
100,F
100,Q
101,J
101,Z
102,J
103,J
103,Z
104,J
105,J
105,Z
106,J
107,J
107,Z
108,J
109,J
109,Z
110,J
110,M
111,J
112,J
112,Z
113,J
114,J
114,M
115,J
116,J
116,M
117,J
117,M
117,Z
118,J
118,M
118,Z
119,J
119,Z
120,J
120,Z
121,J
121,Z
122,N
122,R
123,N
123,R
124,B
124,D
124,F
124,M
124,N
124,Q
124,R
125,N
125,Q
125,R
126,N
126,Q
126,R
127,N
127,Q
127,R
128,N
128,R
129,J
129,N
129,Q
129,R
129,Z
129,6
130,R
131,R
132,R
132,2
132,3
132,4
132,5
133,A
133,C
133,F
133,R
134,N
134,Q
134,R
134,4
134,5
134,6
135,N
135,R
136,R
137,A
137,C
137,E
137,N
137,Q
137,R
137,S
137,1
137,2
137,3
137,7
138,L
138,N
138,Q
138,R
138,4
138,5
138,6
139,R
139,1
140,1
141,1
142,1
143,1
144,1
145,F
145,L
145,M
145,1
145,2
145,3
146,1
147,A
147,C
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
157,2
157,3
158,1
159,A
159,B
159,C
159,D
159,1
160,1
161,1
161,2
161,3
162,1
163,1
164,1
164,2
164,3
165,1
166,1
167,1
167,2
167,3
168,1
169,1
170,1
171,1
172,1
173,1
174,R
174,1
175,A
175,C
175,E
175,N
175,Q
175,R
175,S
175,1
175,2
175,3
175,7
176,1
177,L
178,L
179,F
179,L
179,M
179,1
179,2
179,3
180,A
180,C
180,E
180,L
181,L
182,L
183,L
184,L
185,L
186,L
187,L
188,L
189,L
190,L
191,L
192,G
192,L
193,L
194,L
195,L
195,M
196,L
197,L
198,L
198,N
198,Q
198,R
198,4
198,5
198,6
199,L
200,R
200,2
200,3
200,4
200,5
201,2
201,3
202,A
202,C
202,J
202,Z
202,2
202,3
202,4
202,5
203,A
203,C
203,E
203,1
203,2
203,3
204,2
204,3
205,B
205,D
206,B
206,D
207,B
207,D
208,B
208,D
209,B
209,D
210,B
210,D
211,B
211,D
212,B
212,D
213,D
214,B
214,D
215,B
215,D
215,4
216,D
216,F
216,N
216,Q
217,F
217,Q
218,G
219,G
220,G
221,G
222,G
223,G
224,G
225,G
226,G
227,G
227,L
228,G
229,G
230,F
231,F
232,F
233,F
234,F
235,F
236,F
237,F
238,F
239,F
240,5
241,5
242,5
243,5
244,5
245,B
245,D
245,N
245,Q
245,R
245,2
245,3
245,4
245,5
246,2
246,3
247,2
247,3
248,FS
248,2
248,3
248,4
248,5
249,2
249,3
250,2
250,3
251,3
252,2
252,3
252,4
252,5
253,3
254,3
254,4
255,7
256,7
257,E
257,G
257,M
257,7
258,B
258,D
258,F
258,M
258,7
259,7
260,7
261,7
262,E
262,F
262,M
262,R
262,7
263,7
264,7
265,GS
265,4
265,5
265,6
265,7
266,7
267,7
268,7
269,7
270,7
271,N
271,Q
271,7
272,7
273,7
274,7
275,FS
275,2
275,3
275,4
275,5
276,A
276,FS
277,FS
278,A
278,C
278,J
278,L
279,C
280,A
280,C
281,A
281,C
281,FS
282,A
282,C
282,G
283,A
283,C
283,F
283,R
284,A
284,C
285,C
286,A
286,C
287,A
287,C
288,A
288,C
289,A
289,C
290,A
290,C
291,A
291,C
292,A
292,C
293,4
293,5
294,2
294,4
294,5
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,B 
306,D
306,4
307,2
307,3
308,2
308,3
309,2
309,3
310,2
310,3
311,3
312,3
313,6
314,6
315,6
316,4
316,5
316,6
317,L
317,N
317,Q
317,R
317,4
317,5
317,6
318,6
319,6
320,6
321,E
321,M
321,6
322,N
322,Q
322,R
322,4
322,5
322,6
323,6
324,6
325,4
325,5
325,6
326,6
327,6
328,B
328,D
328,F
328,M
328,6
329,R
329,2
329,3
329,4
329,5
330,4
330,5
331,J
331,Z
331,4
331,5
331,6
332,J
332,N
332,Q
332,R
332,Z
332,6
333,A
333,C
333,J
333,Z
333,2
333,3
333,4
333,5
334,GS
334,4
334,5
334,6
334,7
335,6
336,4
336,5
337,A
338,A
339,A
340,A
341,A
342,A
343,A
344,M
345,M
346,M
347,M
348,M
349,M
350,J
350,Z
351,J
351,Z
352,J
352,N
352,Q
352,R
352,Z
352,6
353,J
353,Z
353,4
353,5
353,6
354,F
354,J
354,M
354,Z
355,A
355,C
355,J
355,Z
355,2
355,3
355,4
355,5
356,3
357,3
358,3
359,3
360,3
361,3
362,3
363,2
363,5
364,2
364,5
365,2
365,5
366,2
366,5
367,2
367,5
368,2
368,5
369,2
369,5
370,6
371,6
372,6
373,6
374,6
375,6
376,6
377,6
378,6
379,6
380,6
381,6
382,6
383,6
384,6
385,6
386,6
387,6
388,F
389,E
389,G
389,M
389,7
390,M
390,R
391,M
391,R
392,E
392,M
393,M
393,R
394,M
394,R
395,M
395,R
396,E
396,F
397,B
397,D
397,E
398,F
399,M
399,R
400,E
400,F
400,M
400,R
401,e
401,F
401,M
401,R
402,M
402,R
403,E
403,F
403,M
403,R
403,7
404,F
405,E
405,F
406,E
406,M
406,6
407,M
407,R
408,F
409,E
409,M
409,R
410,M
410,R
411,F
412,M
412,R
413,A
414,A
415,H
416,A
417,A
418,A
419,A
420,A
421,H
422,H
423,A
423,H
424,A
425,A
426,H
427,N
428,N
429,N
430,N
431,N
432,N
433,N
434,N
435,D
435,N
436,D
437,D
438,D
439,D
440,D
441,D
441,N
442,D
443,D
444,D
445,D
446,D
447,D
448,2
448,5
449,2
449,5
450,2
450,5
451,2
451,5
452,2
452,5
453,2
453,5
454,2
454,5
455,2
455,5
456,2
456,5
457,2
457,5
458,2
458,5
459,2
459,5
460,2
460,5
461,2
461,5
462,2
462,5
463,2
463,5
464,2
464,5
465,2
465,5
466,2
466,5
